[2025-09-22 14:07:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Guest Bedroom - Window Wall Plug', payload '{"ac_frequency":60,"current":0.36,"energy":1318.99,"last_seen":"2025-09-22T14:07:48-06:00","linkquality":180,"power":42.7,"power_factor":0.97,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.1}'
[2025-09-22 14:07:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.77,"energy":12.58,"last_seen":"2025-09-22T14:07:48-06:00","linkquality":176,"power":56.1,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.77,"energy":12.58,"last_seen":"2025-09-22T14:07:48-06:00","linkquality":172,"power":56.1,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Nightstand Power Strip', payload '{"ac_frequency":60,"current":0.12,"energy":73.94,"last_seen":"2025-09-22T14:07:48-06:00","linkquality":172,"power":10.2,"power_factor":0.65,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.3}'
[2025-09-22 14:07:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Nightstand Power Strip', payload '{"ac_frequency":60,"current":0.13,"energy":73.94,"last_seen":"2025-09-22T14:07:48-06:00","linkquality":172,"power":10.2,"power_factor":0.65,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.3}'
[2025-09-22 14:07:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.32,"energy":752.5,"last_seen":"2025-09-22T14:07:49-06:00","linkquality":148,"power":16.1,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:07:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.28,"energy":752.5,"last_seen":"2025-09-22T14:07:49-06:00","linkquality":148,"power":16.1,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:07:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Wifi Outlet', payload '{"ac_frequency":60,"current":0.41,"energy":254.66,"last_seen":"2025-09-22T14:07:49-06:00","linkquality":188,"power":31.9,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Wifi Outlet', payload '{"ac_frequency":60,"current":0.39,"energy":254.66,"last_seen":"2025-09-22T14:07:49-06:00","linkquality":192,"power":31.9,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.77,"energy":12.58,"last_seen":"2025-09-22T14:07:52-06:00","linkquality":172,"power":57.3,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.79,"energy":12.58,"last_seen":"2025-09-22T14:07:52-06:00","linkquality":176,"power":57.3,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:53] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Dell Server Plug', payload '{"ac_frequency":60,"current":0.74,"energy":1684.72,"last_seen":"2025-09-22T14:07:53-06:00","linkquality":220,"power":82.3,"power_factor":0.93,"power_on_behavior":"on","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":119.9}'
[2025-09-22 14:07:53] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.28,"energy":752.5,"last_seen":"2025-09-22T14:07:53-06:00","linkquality":148,"power":16.1,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:07:53] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.79,"energy":12.58,"last_seen":"2025-09-22T14:07:53-06:00","linkquality":176,"power":57.3,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Cody's Desk', payload '{"ac_frequency":60,"current":1.69,"energy":1021.17,"last_seen":"2025-09-22T14:07:57-06:00","linkquality":255,"power":175.3,"power_factor":0.85,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.2}'
[2025-09-22 14:07:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.79,"energy":12.58,"last_seen":"2025-09-22T14:07:57-06:00","linkquality":176,"power":108.5,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.32,"energy":12.58,"last_seen":"2025-09-22T14:07:57-06:00","linkquality":176,"power":108.5,"power_factor":0.6,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.32,"energy":12.58,"last_seen":"2025-09-22T14:07:57-06:00","linkquality":176,"power":108.5,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.32,"energy":12.58,"last_seen":"2025-09-22T14:07:58-06:00","linkquality":176,"power":108.5,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:07:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.32,"energy":12.58,"last_seen":"2025-09-22T14:07:58-06:00","linkquality":176,"power":108.5,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Washer Power', payload '{"ac_frequency":60,"current":0.01,"energy":55.78,"last_seen":"2025-09-22T14:08:00-06:00","linkquality":192,"power":0.4,"power_factor":0.21,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.32,"energy":12.58,"last_seen":"2025-09-22T14:08:02-06:00","linkquality":176,"power":57.6,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.8,"energy":12.58,"last_seen":"2025-09-22T14:08:02-06:00","linkquality":172,"power":57.6,"power_factor":0.68,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.8,"energy":12.58,"last_seen":"2025-09-22T14:08:02-06:00","linkquality":176,"power":57.6,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.8,"energy":12.58,"last_seen":"2025-09-22T14:08:03-06:00","linkquality":176,"power":57.6,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.8,"energy":12.58,"last_seen":"2025-09-22T14:08:03-06:00","linkquality":172,"power":57.6,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
